,time_spread (t-1),dod_change (t-1),target_position (t-1),MEH-WTI (t-1),LLS (t-1),time_spread (t-2),MEH-WTI (t-2),LLS (t-2),time_spread (t-3),dod_change (t-3),MEH-WTI (t-3),LLS (t-3),time_spread (t-4),target_position (t-4),MEH-WTI (t-4),LLS (t-4),WTI | P2 | HSK (t-4),time_spread (t-5),MEH-WTI (t-5),LLS (t-5),time_spread (t-6),MEH-WTI (t-6),LLS (t-6),time_spread (t-7),dod_change (t-7),MEH-WTI (t-7),LLS (t-7),time_spread (t-8),MEH-WTI (t-8),LLS (t-8),time_spread (t-9),time_spread (t-10),time_spread (t-11),time_spread (t-12),time_spread (t-13),dod_change (t-13),target_position (t-13),time_spread (t-14),time_spread (t-15),time_spread (t-16),time_spread (t-17),dod_change (t-17),target_position (t-17),time_spread (t-18),time_spread (t-19),time_spread (t-20),MEH | USGC | HSK (t-20),MEH | USGC | FCC (t-20)
0,0.07,-0.04999999999999999,1,4.2,4.7,0.12,4.0,4.55,0.15,0.06,4.0,4.6,0.09,0,4.25,4.6,8.0,0.01,4.25,4.7,0.03,4.25,4.85,0.11,0.03,4.2,4.65,0.08,4.2,4.9,-0.01,-0.19,-0.16,-0.4,-0.9,-0.21000000000000008,1,-0.27,-0.75,-0.36,-1.0,-0.41,1,-1.61,-1.91,-1.07,0.87,1.76
1,0.06,-0.010000000000000007,1,4.05,4.8,0.07,4.2,4.7,0.12,-0.03,4.0,4.55,0.15,0,4.0,4.6,7.17,0.09,4.25,4.6,0.01,4.25,4.7,0.03,-0.08,4.25,4.85,0.11,4.2,4.65,0.08,-0.01,-0.19,-0.16,-0.4,-0.06,1,-0.9,-0.27,-0.75,-0.36,0.23,0,-1.0,-1.61,-1.91,0.54,0.85
2,0.05,-0.009999999999999995,1,4.05,4.7,0.06,4.05,4.8,0.07,-0.04999999999999999,4.2,4.7,0.12,1,4.0,4.55,6.91,0.15,4.0,4.6,0.09,4.25,4.6,0.01,-0.02,4.25,4.7,0.03,4.25,4.85,0.11,0.08,-0.01,-0.19,-0.16,-0.010000000000000007,1,-0.4,-0.9,-0.27,-0.75,-0.07999999999999996,1,-0.36,-1.0,-1.61,-1.33,0.28
3,0.06,0.009999999999999995,0,3.8,4.55,0.05,4.05,4.7,0.06,-0.010000000000000007,4.05,4.8,0.07,1,4.2,4.7,6.78,0.12,4.0,4.55,0.15,4.0,4.6,0.09,0.08,4.25,4.6,0.01,4.25,4.7,0.03,0.11,0.08,-0.01,-0.19,-0.03,1,-0.16,-0.4,-0.9,-0.27,0.11,0,-0.75,-0.36,-1.0,1.28,2.0
4,0.06,0.0,0,3.55,4.35,0.06,3.8,4.55,0.05,-0.009999999999999995,4.05,4.7,0.06,1,4.05,4.8,6.93,0.07,4.2,4.7,0.12,4.0,4.55,0.15,0.06,4.0,4.6,0.09,4.25,4.6,0.01,0.03,0.11,0.08,-0.01,0.01,0,-0.19,-0.16,-0.4,-0.9,-0.21000000000000008,1,-0.27,-0.75,-0.36,1.6,1.74
5,-0.08,-0.14,1,3.25,4.15,0.06,3.55,4.35,0.06,0.009999999999999995,3.8,4.55,0.05,1,4.05,4.7,7.12,0.06,4.05,4.8,0.07,4.2,4.7,0.12,-0.03,4.0,4.55,0.15,4.0,4.6,0.09,0.01,0.03,0.11,0.08,0.09,0,-0.01,-0.19,-0.16,-0.4,-0.06,1,-0.9,-0.27,-0.75,2.09,1.57
6,0.17,0.03,0,2.15,2.55,-0.08,3.25,4.15,0.06,0.0,3.55,4.35,0.06,0,3.8,4.55,7.22,0.05,4.05,4.7,0.06,4.05,4.8,0.07,-0.04999999999999999,4.2,4.7,0.12,4.0,4.55,0.15,0.09,0.01,0.03,0.11,0.03,0,0.08,-0.01,-0.19,-0.16,-0.010000000000000007,1,-0.4,-0.9,-0.27,2.26,1.77
7,0.17,0.0,0,1.85,2.35,0.17,2.15,2.55,-0.08,-0.14,3.25,4.15,0.06,0,3.55,4.35,7.26,0.06,3.8,4.55,0.05,4.05,4.7,0.06,-0.010000000000000007,4.05,4.8,0.07,4.2,4.7,0.12,0.15,0.09,0.01,0.03,-0.08,1,0.11,0.08,-0.01,-0.19,-0.03,1,-0.16,-0.4,-0.9,3.78,4.23
8,0.15,-0.02000000000000001,1,2.0,2.65,0.17,1.85,2.35,0.17,0.03,2.15,2.55,-0.08,1,3.25,4.15,6.39,0.06,3.55,4.35,0.06,3.8,4.55,0.05,-0.009999999999999995,4.05,4.7,0.06,4.05,4.8,0.07,0.12,0.15,0.09,0.01,-0.02,1,0.03,0.11,0.08,-0.01,0.01,0,-0.19,-0.16,-0.4,3.52,3.93
9,0.17,0.02000000000000001,0,2.2,2.85,0.15,2.0,2.65,0.17,0.0,1.85,2.35,0.17,0,2.15,2.55,7.32,-0.08,3.25,4.15,0.06,3.55,4.35,0.06,0.009999999999999995,3.8,4.55,0.05,4.05,4.7,0.06,0.07,0.12,0.15,0.09,0.08,0,0.01,0.03,0.11,0.08,0.09,0,-0.01,-0.19,-0.16,4.52,5.17
10,0.25,0.07999999999999999,0,2.1,2.95,0.17,2.2,2.85,0.15,-0.02000000000000001,2.0,2.65,0.17,0,1.85,2.35,7.16,0.17,2.15,2.55,-0.08,3.25,4.15,0.06,0.0,3.55,4.35,0.06,3.8,4.55,0.05,0.06,0.07,0.12,0.15,0.06,0,0.09,0.01,0.03,0.11,0.03,0,0.08,-0.01,-0.19,5.33,6.0
11,0.38,0.13,0,1.85,2.55,0.25,2.1,2.95,0.17,0.02000000000000001,2.2,2.85,0.15,1,2.0,2.65,6.94,0.17,1.85,2.35,0.17,2.15,2.55,-0.08,-0.14,3.25,4.15,0.06,3.55,4.35,0.06,0.05,0.06,0.07,0.12,-0.03,1,0.15,0.09,0.01,0.03,-0.08,1,0.11,0.08,-0.01,3.78,3.3
12,0.32,-0.06,1,1.8,2.5,0.38,1.85,2.55,0.25,0.07999999999999999,2.1,2.95,0.17,0,2.2,2.85,7.67,0.15,2.0,2.65,0.17,1.85,2.35,0.17,0.03,2.15,2.55,-0.08,3.25,4.15,0.06,0.06,0.05,0.06,0.07,-0.04999999999999999,1,0.12,0.15,0.09,0.01,-0.02,1,0.03,0.11,0.08,3.57,3.21
13,0.28,-0.03999999999999998,1,1.7,2.25,0.32,1.8,2.5,0.38,0.13,1.85,2.55,0.25,0,2.1,2.95,7.01,0.17,2.2,2.85,0.15,2.0,2.65,0.17,0.0,1.85,2.35,0.17,2.15,2.55,-0.08,0.06,0.06,0.05,0.06,-0.010000000000000007,1,0.07,0.12,0.15,0.09,0.08,0,0.01,0.03,0.11,3.13,2.82
14,0.24,-0.040000000000000036,1,2.05,2.35,0.28,1.7,2.25,0.32,-0.06,1.8,2.5,0.38,0,1.85,2.55,6.07,0.25,2.1,2.95,0.17,2.2,2.85,0.15,-0.02000000000000001,2.0,2.65,0.17,1.85,2.35,0.17,-0.08,0.06,0.06,0.05,-0.009999999999999995,1,0.06,0.07,0.12,0.15,0.06,0,0.09,0.01,0.03,3.02,2.68
